DocId,DocTextlen,DocText,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,INTJ,DocType,FileSize,FilePath,DocCat
B_001,2553,"ad sale boost time_warner profit quarterly profit media giant timewarner jump 76 $ 1.13bn £ 600 m month december $ 639 m year early firm big investor google benefit sale high speed internet connection high advert sale timewarner say fourth quarter sale rise 2 $ 11.1bn $ 10.9bn profit buoy gain offset profit dip warner_bros user aol time_warner say friday own 8 search engine google internet business aol mixed fortune lose 464,000 subscriber fourth quarter profit low precede quarter company say aol underlie profit exceptional item rise 8 strong internet advertising revenue hope increase subscriber offer online service free timewarner internet customer try sign aol exist customer high speed broadband timewarner restate 2000 2003 result follow probe the_us_securities_exchange_commission sec close conclude time_warner's fourth quarter profit slightly well analyst expectation film division see profit slump 27 $ 284 m help box office flop alexander catwoman sharp contrast year early final film lord rings trilogy boost result year timewarner post profit $ 3.36bn 27 2003 performance revenue grow 6.4 $ 42.09bn financial performance strong meet exceed year objective greatly enhance flexibility chairman chief executive richard_parsons say 2005 timewarner project operate earning growth 5 expect high revenue wide profit margin timewarner restate account effort resolve inquiry aol market regulator offer pay $ 300 m settle charge deal review sec company say unable estimate need set aside legal reserve previously set $ 500 m. intend adjust way account deal german music publisher bertelsmann purchase stake aol_europe report advertising revenue book sale stake aol_europe loss value stake",31,61,15.0,15.0,13.0,28,114,27.0,14.0,27.0,36,55,3.0,9.0,53,0.0,0.0,Business,2560,../input/bbc-full-text-document-classification/bbc/business/001.txt,0
B_002,2248,dollar gain greenspan speech dollar hit high level euro month the_federal_reserve head say trade deficit set stabilise alan_greenspan highlight government willingness curb spending rise household saving factor help reduce late trading new_york dollar reach $ 1.2871 euro $ 1.2974 thursday market concern deficit hit greenback recent month friday federal_reserve chairman mr greenspan speech london ahead meeting g7 finance minister send dollar higher early tumble bad expect job datum think chairman take sanguine view current account deficit take time say robert_sinche head currency strategy bank_of_america new_york take long term view lay set condition current account deficit improve year worry deficit concern china remain china currency remain peg dollar currency sharp fall recent month chinese export price highly competitive call shift beijing policy fall deaf ear despite recent comment major chinese newspaper time ripe loosening peg g7 meeting think unlikely produce meaningful movement chinese policy meantime the_us_federal_reserve's decision 2 february boost interest rate quarter point sixth month open differential european rate half point window believe asset look attractive help prop dollar recent fall partly result big budget deficit yawn current account gap need fund buying bond asset foreign firm government the_white_house announce budget monday commentator believe deficit remain close half trillion dollar,33,54,15.0,21.0,9.0,44,99,5.0,14.0,12.0,27,43,5.0,2.0,43,0.0,0.0,Business,2252,../input/bbc-full-text-document-classification/bbc/business/002.txt,0
B_003,1547,yukos unit buyer face loan claim owner embattle russian oil giant yukos ask buyer production unit pay $ 900 m £ 479 m loan state own rosneft buy yugansk unit $ 9.3bn sale force russia settle $ 27.5bn tax claim yukos yukos owner menatep_group say ask rosneft repay loan yugansk secure asset rosneft face similar $ 540 m repayment demand foreign bank legal expert say rosneft purchase yugansk include obligation pledge asset rosneft pay real money creditor avoid seizure yugansk asset say moscow base lawyer jamie_firestone connect case menatep_group's manage director tim_osborne tell reuters news agency default fight rule law exist international arbitration clause credit rosneft official unavailable comment company say intend action menatep recover tax claim debt owe yugansk yukos file bankruptcy protection court attempt prevent force sale main production arm sale go ahead december yugansk sell little know shell company turn buy rosneft yukos claim downfall punishment political ambition founder mikhail_khodorkovsky vow sue participant sale,11,32,3.0,15.0,4.0,25,71,5.0,13.0,15.0,29,26,3.0,4.0,42,0.0,0.0,Business,1552,../input/bbc-full-text-document-classification/bbc/business/003.txt,0
B_004,2395,"high fuel price hit ba profit british_airways blame high fuel price 40 drop profit report result month 31 december 2004 airline pre tax profit £ 75 m $ 141 m compare £ 125 m year early rod_eddington ba chief executive say result respectable quarter fuel cost rise £ 106 m 47.3 ba profit well market expectation £ 59 m expect rise year revenue help offset increase price aviation fuel ba year introduce fuel surcharge passenger october increase £ 6 £ 10 way long haul flight short haul surcharge raise £ 2.50 £ 4 leg aviation analyst mike_powell dresdner_kleinwort_wasserstein say ba estimate annual surcharge revenue £ 160 m way short additional fuel cost predict extra £ 250 m. turnover quarter 4.3 £ 1.97bn benefit rise cargo revenue look ahead year result march 2005 ba warn yield average revenue passenger expect decline continue lower price face competition low cost carrier say sale well previously forecast year march 2005 total revenue outlook slightly well previous guidance 3 3.5 improvement anticipate ba chairman martin_broughton say ba previously forecast 2 3 rise year revenue report friday passenger number rise 8.1 january aviation analyst nick_van_den_brul bnp paribas describe ba late quarterly result pretty modest good revenue show impact fuel surcharge positive cargo development operate margin cost impact fuel strong say 11 september 2001 attack the_united_states ba cut 13,000 job major cost cut drive focus remain reduce controllable cost debt whilst continue invest product mr eddington say example take delivery airbus a321 aircraft month start improvement club_world flat bed ba share close penny 274.5 penny",36,53,16.0,17.0,8.0,26,114,34.0,13.0,17.0,34,62,8.0,10.0,45,0.0,0.0,Business,2412,../input/bbc-full-text-document-classification/bbc/business/004.txt,0
B_005,1565,pernod takeover talk lift domecq share uk drink food firm allied_domecq rise speculation target takeover france pernod_ricard report the_wall_street_journal the_financial_times suggest french spirit firm consider bid contact target allied domecq share london rise 4 1200 gmt pernod share paris slip 1.2 pernod say seek acquisition refuse comment specific pernod major purchase giant seagram 2000 propel global drink firm third seagram buy market leader diageo term market value pernod 7.5bn euro $ 9.7bn 9 small allied_domecq capitalisation £ 5.7bn $ 10.7bn 8.2bn euro year pernod try buy glenmorangie scotland premier whisky firm lose luxury good firm lvmh pernod home brand include chivas_regal_scotch whisky havana_club rum jacob creek wine allied domecq big name include malibu rum courvoisier brandy stolichnaya vodka ballantine whisky snack food chain dunkin'_donuts baskin robbins ice cream wsj say ripe consolidation having deal problematic part portfolio pernod reduce debt take fund seagram purchase 1.8bn euro allied improve performance fast food chain,15,32,5.0,13.0,8.0,14,68,15.0,10.0,10.0,41,35,5.0,3.0,26,0.0,0.0,Business,1570,../input/bbc-full-text-document-classification/bbc/business/005.txt,0
B_006,1180,japan narrowly escape recession japan economy teeter brink technical recession month september figure revise figure indicate growth 0.1 similar sized contraction previous quarter annual basis datum suggest annual growth 0.2 suggest hesitant recovery previously think common technical definition recession successive quarter negative growth government keen play worrying implication datum maintain view japan economy remain minor adjustment phase upward climb monitor development carefully say economy minister heizo_takenaka face strengthen yen make export competitive indication weaken economic condition ahead observer sanguine paint picture recovery patchy previously think say paul_sheard economist lehman_brothers tokyo improvement job market apparently feed domestic demand private consumption 0.2 quarter,22,26,15.0,7.0,4.0,22,46,5.0,4.0,3.0,9,24,3.0,0.0,21,0.0,0.0,Business,1187,../input/bbc-full-text-document-classification/bbc/business/006.txt,0
B_007,1664,"job growth slow create few job expect january fall jobseeker push unemployment rate low level year accord labor_department figure firm add 146,000 job january gain non farm payroll market expectation 190,000 new job push unemployment rate 5.2 low level september 2001 job gain mean president bush celebrate albeit fine margin net growth job economy term office preside net fall job november presidential election president herbert_hoover result job creation key issue year election add december january figure administration term job record end positive territory the_labor_department say revise job gain december 2004 157,000 133,000 analyst say growth new job strong expect give favourable economic condition suggest employment continue expand moderate pace say rick_egelton deputy chief economist bmo_financial_group get boost employment got give low value dollar relatively low interest rate environment economy produce moderate satisfying job growth say ken_mayland president clearview_economics mean limited number new opportunity worker",32,37,10.0,13.0,4.0,27,69,8.0,10.0,11.0,21,36,8.0,0.0,29,0.0,0.0,Business,1669,../input/bbc-full-text-document-classification/bbc/business/007.txt,0
B_008,1918,india call fair trade rule india attend g7 meeting seven lead industrialise nation friday unlikely cow newcomer status london thursday ahead meeting india finance minister lash restrictive trade policy g7 nation object subsidy agriculture hard develop nation like india compete call reform the_united_nations the_world_bank imf palaniappan_chidambaram india finance minister argue organisation need account change world order give india china integration global economy say issue globalisation term engagement globalisation mr chidambaram attend g7 meeting g20 group nation account third world population conference develop enterprise host uk finance minister gordon_brown friday say favour float exchange rate help country cope economic shock flexible exchange rate channel absorb positive negative shock tell conference india china brazil south_africa russia invite g7 meeting take place london friday saturday china expect face renew pressure abandon fix exchange rate g7 nation particular blame surge cheap chinese export country try use fix exchange rate wish judgement mr chidambaram say separately imf warn thursday india budget deficit large hamper country economic growth forecast 6.5 year march 2005 year march 2004 indian economy grow 8.5,16,47,4.0,15.0,8.0,26,75,7.0,17.0,17.0,39,43,5.0,0.0,46,0.0,0.0,Business,1922,../input/bbc-full-text-document-classification/bbc/business/008.txt,0
B_009,1489,"ethiopia crop production 24 ethiopia produce 14.27 million tonne crop 2004 24 high 2003 21 average past year report say 2003 crop production total 11.49 million tonne joint report the_food_and_agriculture_organisation the_world_food_programme say good rain increase use fertilizer improve seed contribute rise production 2.2 million ethiopians need emergency assistance report calculate emergency food requirement 2005 387,500 tonne 89,000 tonne fortified blend food vegetable oil target supplementary food distribution survival programme child pregnant lactating woman need eastern southern ethiopia prolong drought kill crop drained well year total 965,000 tonne food assistance need help seven million ethiopians the_food_and_agriculture_organisation fao recommend food assistance buy locally local purchase cereal food assistance programme recommend far possible assist domestic market farmer say henri_josserand chief fao global_information early warning system agriculture main economic activity ethiopia represent 45 gross domestic product 80 ethiopians depend directly indirectly agriculture",20,30,9.0,9.0,11.0,11,62,22.0,5.0,1.0,17,31,3.0,0.0,23,0.0,0.0,Business,1494,../input/bbc-full-text-document-classification/bbc/business/009.txt,0
B_010,1444,court reject $ 280bn tobacco case government claim accuse country big tobacco company cover effect smoking throw appeal court demand $ 280bn £ 155bn file clinton administration 1999 reject 2 1 decision court washington find case bring federal anti racketeering law accuse altria_group rj reynolds_tobacco lorillard_tobacco liggett_group brown williamson case government claim tobacco firm manipulate nicotine level increase addiction target teenager multi billion dollar advertising campaign lie danger smoking ignore research contrary prosecutor want cigarette firm surrender $ 280bn profit accumulate past 50 year impose tough rule market product the_court_of_appeals_for_the_district_of_columbia rule government sue firm legislation draw counteract mafia infiltration business tobacco company deny illegally conspire promote smoking defraud public meet government demand landmark $ 206bn settlement reach 46 state 1998 share tobacco company close higher ruling altria rise 5 reynolds show gain 4.5,12,31,4.0,8.0,7.0,22,63,9.0,8.0,5.0,17,21,3.0,5.0,34,0.0,0.0,Business,1449,../input/bbc-full-text-document-classification/bbc/business/010.txt,0
B_011,1139,ask jeeves tip online ad revival ask_jeeves lead online search firm week thank revival internet advertising improve fortune firm revenue nearly triple fourth quarter 2004 exceed $ 86 m £ 46 m ask jeeves well know name web relatively modest player $ 17 m profit quarter dwarf $ 204 m announce rival google early week quarter yahoo earn $ 187 m tip resurgence online advertising trend take hold relatively quickly late year marketing company doubleclick lead provider online advertising warn business sale thursday announce sharp turnaround bring unexpected increase profit ask jeeves doubleclick thrill investor profit news case share fall 4 analyst attribute fall excessive expectation quarter fuel dramatic outperformance google tuesday,13,28,11.0,8.0,3.0,22,47,10.0,3.0,8.0,11,26,2.0,5.0,26,0.0,0.0,Business,1144,../input/bbc-full-text-document-classification/bbc/business/011.txt,0
B_012,1842,indonesians face fuel price rise indonesia government confirm consider raise fuel price 30 million indonesians use kerosene basic cooking price heavily subsidise year president susilo_bambang_yudhoyono's government say want curb fuel subsidy direct money aid programme poor critic argue cut subsidy hurt poor family government say want help million people leave homeless indonesia_aceh's region follow earthquake tsunami disaster late december indonesia pay subsidy importer order stabilise domestic fuel price high oil price force government spend hold price spend 59.2 trillion rupiah $ 6.58bn £ 3.5bn fuel subsidy 2004 sum far excess original projection 14.5 trillion rupiah president yudhoyono government come power october indicate intention raise domestic fuel price cut subsidy january march quarter year good time increase fuel price say sri_mulyani indrawati state minister national_development_planning consider 30 hike suitable moment soon well state budget bbc correspondent jakarta rachel_harvey tell world_business_report likely strong public reaction price rise big question big short sharp shock raise price 20 30 try stagger say indonesia previous government lead president megawati_sukarnoputri attempt cut subsidy 2003 force face public protest,24,37,6.0,15.0,9.0,18,71,12.0,13.0,16.0,27,39,7.0,1.0,43,1.0,0.0,Business,1847,../input/bbc-full-text-document-classification/bbc/business/012.txt,0
B_013,1825,"peugeot deal boost mitsubishi struggle japanese car maker mitsubishi_motors strike deal supply french car maker peugeot 30,000 sport utility vehicle suv firm sign a_memorandum_of_understanding expect seal final agreement spring 2005 alliance come badly need boost loss make mitsubishi profit warning poor sale suv build japan peugeot diesel engine sell mainly european market fall sale leave mitsubishi_motors underused capacity production deal peugeot give chance utilise january mitsubishi_motors issue profit warn month cut sale forecast year march 2005 sale slide 41 past year catalyse revelation company systematically hide record fault secretly repair vehicle result japanese car maker seek series financial bailout month say look 540bn yen $ 5.2bn £ 2.77bn fresh financial backing half company mitsubishi group german carmaker daimlerchrylser 30 shareholder mitsubishi_motors decide april 2004 pump money deal peugeot celebrate mitsubishi newly appoint chief executive takashi_nishioka take boss stand month shoulder responsibility firm trouble mitsubishi_motors forecast net loss 472bn yen current financial year march 2005 month sign production agreement japanese rival nissan_motor supply 36,000 small car sale japan make car nissan 2003",28,40,6.0,13.0,6.0,24,71,14.0,10.0,15.0,29,35,3.0,2.0,39,0.0,0.0,Business,1830,../input/bbc-full-text-document-classification/bbc/business/013.txt,0
